id,category,name,price,ingredient_id,quantity
1,Ice Level,Regular,0,ice,0.25
2,Ice Level,Less,0,ice,0.18
3,Ice Level,No Ice,0,ice,0
4,Sweetness Level,Normal 100%,0,white_sugar,0.03
5,Sweetness Level,Less 70%,0,white_sugar,0.021
6,Sweetness Level,Half 50%,0,white_sugar,0.015
7,Sweetness Level,Light 30%,0,white_sugar,0.009
8,Sweetness Level,No Sugar 0%,0,white_sugar,0
9,Toppings,Pearls (Boba),0.75,tapioca_pearls,0.05
10,Toppings,Coffee Jelly,0.75,coffee_jelly,0.05
11,Toppings,Pudding,0.75,pudding,0.05
12,Toppings,Lychee Jelly,0.75,lychee_jelly,0.05
13,Toppings,Honey Jelly,0.75,honey_jelly,0.05
14,Toppings,Crystal Boba,1.00,crystal_boba,0.05
15,Toppings,Mango Popping Boba,1.00,popping_boba_mango,0.05
16,Toppings,Strawberry Popping Boba,1.00,popping_boba_strawberry,0.05
17,Toppings,Ice Cream,1.00,ice_cream_vanilla,0.03
18,Toppings,Cream,1.00,heavy_cream,0.015
