ingredient_id,ingredient_name,stock_level,unit,low_stock_threshold
milk,milk,20,gal,5
matcha,matcha,5,lb,1
black_tea,black_tea,10,lb,2
green_tea,green_tea,8,lb,2
oolong_tea,oolong_tea,6,lb,1
tapioca_pearls,tapioca_pearls,50,lb,10
popping_boba_strawberry,popping_boba_strawberry,20,lb,4
popping_boba_mango,popping_boba_mango,20,lb,4
brown_sugar,brown_sugar,25,lb,5
white_sugar,white_sugar,30,lb,5
honey,honey,5,gal,1
coconut_milk,coconut_milk,15,gal,3
almond_milk,almond_milk,10,gal,3
oat_milk,oat_milk,8,gal,2
heavy_cream,heavy_cream,12,gal,2
condensed_milk,condensed_milk,20,can,5
taro_powder,taro_powder,10,lb,2
thai_tea_mix,thai_tea_mix,8,lb,2
jasmine_tea,jasmine_tea,6,lb,1
coffee_beans,coffee_beans,15,lb,3
ice_cream_vanilla,ice_cream_vanilla,5,gal,1
ice_cream_taro,ice_cream_taro,3,gal,1
fresh_strawberries,fresh_strawberries,10,lb,2
fresh_mango,fresh_mango,12,lb,2
lychee_syrup,lychee_syrup,8,bottle,2
passion_fruit_syrup,passion_fruit_syrup,8,bottle,2
rose_syrup,rose_syrup,6,bottle,2
cups_16oz,cups_16oz,1000,piece,200
cups_24oz,cups_24oz,800,piece,150
straws_wide,straws_wide,2000,piece,400
lids,lids,1500,piece,300
ice,ice,100,lb,20
coffee_jelly,Coffee Jelly,10,lb,2
pudding,Pudding,10,lb,2
lychee_jelly,Lychee Jelly,15,lb,3
honey_jelly,Honey Jelly,15,lb,3
crystal_boba,Crystal Boba,10,lb,2
