order_id,menu_item_id,quantity
1,12,3
2,22,1
2,14,2
2,1,1
3,26,2
3,16,1
3,2,3
4,18,2
5,33,3
6,15,1
6,2,3
6,35,2
6,21,2
7,15,2
7,34,3
8,24,3
8,2,2
8,27,3
9,21,1
9,22,1
9,3,2
10,13,2
10,4,2
11,36,2
11,31,2
11,14,1
11,21,2
12,28,3
13,1,3
13,12,2
13,37,1
14,35,2
15,38,3
15,37,1
15,20,1
15,30,2
16,23,1
17,12,1
17,6,2
17,2,3
18,27,2
18,20,2
18,0,3
19,19,2
19,16,2
19,27,3
20,3,1
20,20,2
20,35,1
21,21,2
21,8,3
21,11,3
22,34,3
22,27,1
22,4,1
22,33,1
23,4,2
23,11,3
24,19,2
25,23,1
26,24,2
27,20,2
28,11,1
28,22,2
29,9,3
29,35,2
29,24,1
29,1,3
30,0,1
30,17,2
30,14,3
31,19,2
31,21,2
32,16,3
32,29,1
32,1,3
33,29,1
33,5,2
34,11,3
34,20,1
34,16,1
35,8,3
36,34,3
37,2,2
37,31,3
38,33,2
39,19,1
39,9,1
39,0,1
39,3,1
40,37,1
40,3,2
40,25,3
40,26,3
41,31,2
41,21,3
41,1,2
41,16,2
42,5,1
42,20,3
43,12,3
43,33,1
44,12,1
44,8,3
44,13,1
44,0,3
45,2,2
46,8,3
46,4,3
46,17,1
47,10,2
47,8,3
47,30,2
47,16,2
48,18,3
48,0,1
48,21,3
49,9,1
50,38,3
50,0,1
50,14,2
51,1,3
51,17,2
51,3,3
51,14,1
52,8,3
52,28,1
53,18,3
53,6,2
53,3,1
54,15,3
55,25,2
55,19,3
56,5,2
56,35,2
57,32,2
57,29,2
57,7,2
58,23,1
58,8,3
59,26,3
59,36,2
60,30,3
60,6,3
61,4,3
61,28,2
61,16,3
62,16,2
62,11,2
62,21,1
62,20,3
63,0,2
64,0,1
64,7,1
64,25,2
65,19,3
66,24,3
66,8,3
67,24,3
67,7,1
67,21,1
67,38,2
68,0,1
68,19,1
68,28,1
69,29,1
70,11,2
70,28,3
70,36,2
71,17,2
71,27,1
72,28,2
72,8,1
72,19,2
72,22,1
73,3,3
73,5,3
73,30,3
74,6,3
75,33,2
75,30,3
75,4,1
76,33,1
77,21,1
78,11,1
78,17,1
78,16,3
78,37,2
79,0,2
79,37,1
79,33,1
80,17,1
80,27,1
80,26,3
80,8,1
81,12,3
81,10,1
82,33,2
82,23,2
82,0,3
82,26,3
83,19,3
83,18,2
83,38,3
83,2,3
84,18,2
85,4,3
85,32,1
85,0,1
86,1,1
86,32,2
86,27,1
87,23,3
87,3,2
87,37,1
87,19,1
88,34,1
88,16,3
89,0,2
89,27,3
89,2,3
90,7,1
90,17,3
91,13,1
91,16,2
92,10,2
92,16,2
93,2,2
93,12,2
93,9,1
94,11,1
95,30,1
96,7,3
96,20,3
96,8,2
97,5,2
97,14,2
97,21,3
98,8,1
98,17,2
98,22,2
99,37,2
99,9,2
99,0,2
99,10,1
100,35,1
101,32,3
101,1,1
101,4,1
101,19,3
102,36,1
103,0,1
103,38,2
104,23,2
104,4,1
105,20,2
105,17,3
105,21,2
105,7,2
106,14,2
107,22,1
107,6,3
108,30,1
108,32,3
108,34,1
108,0,3
109,25,1
109,12,2
109,20,2
110,36,2
110,19,2
110,28,2
111,33,1
111,38,3
111,34,2
111,16,3
112,0,2
113,37,2
113,36,1
113,33,1
114,16,1
115,31,2
115,17,2
115,18,2
115,19,2
116,1,3
117,1,2
117,18,1
118,4,2
118,18,2
118,38,1
119,28,2
119,26,2
119,6,2
119,9,2
120,35,2
120,32,3
120,27,1
121,18,3
121,37,2
121,22,2
122,6,2
122,17,2
122,7,2
123,28,3
124,15,3
125,11,3
125,37,3
126,32,2
127,29,1
128,20,2
128,14,2
128,34,1
129,27,3
129,18,1
129,6,2
129,25,1
130,27,3
130,21,3
131,3,2
132,1,1
132,6,3
132,10,2
132,2,3
133,21,2
133,32,2
133,10,3
134,14,1
134,16,1
134,30,1
135,12,3
135,3,1
136,30,1
137,36,3
137,35,2
137,37,2
138,11,3
138,37,3
138,19,2
138,16,1
139,13,1
140,6,3
141,36,1
141,15,2
142,10,1
142,38,2
142,18,1
142,31,1
143,32,1
143,36,3
143,27,3
144,3,3
144,33,1
144,5,1
144,4,1
145,19,3
145,25,3
145,34,2
145,9,2
146,29,2
146,28,2
146,31,2
146,25,3
147,25,3
147,16,1
148,27,1
148,20,3
148,29,3
149,11,1
149,5,3
149,3,2
150,20,1
151,24,1
151,14,2
152,2,2
152,38,1
152,37,1
152,1,2
153,23,1
153,15,3
153,14,3
153,3,3
154,20,3
154,17,1
155,5,2
155,1,2
156,8,1
157,35,3
158,11,3
158,19,2
158,31,3
158,25,1
159,33,1
159,11,1
160,37,2
160,23,3
161,4,3
161,7,3
162,33,3
162,7,2
163,25,2
163,31,3
163,28,1
163,12,3
164,4,1
165,32,3
165,34,1
166,3,3
166,6,1
167,35,2
167,3,3
168,3,2
168,6,1
169,25,3
169,29,1
169,13,1
169,38,2
170,12,3
171,15,2
171,37,3
171,26,1
171,23,3
172,15,1
172,37,2
172,29,3
172,14,1
173,7,3
173,34,3
173,30,3
173,23,2
174,32,1
175,17,1
175,23,3
176,22,2
176,10,2
177,21,1
177,17,1
178,14,1
179,25,3
179,26,2
180,15,1
180,28,2
180,35,3
181,21,1
181,4,1
181,3,3
181,33,1
182,0,1
182,14,1
183,10,3
183,11,3
184,31,3
185,21,2
185,36,3
186,16,3
186,37,1
187,7,3
188,6,1
188,0,3
188,13,1
188,35,1
189,11,1
190,5,1
190,17,3
190,36,2
191,8,2
191,0,2
191,12,2
192,8,2
193,22,3
193,19,2
194,14,1
195,13,2
195,6,2
195,23,2
195,30,3
196,4,2
196,38,3
197,33,2
197,10,1
198,14,2
198,37,2
199,17,1
199,1,2
199,24,2
199,5,1
200,10,2
201,31,1
202,32,2
202,11,1
202,1,3
202,6,2
203,36,3
203,29,3
203,37,1
204,25,1
204,5,3
204,12,1
205,13,3
205,22,3
206,0,2
206,15,1
206,21,2
207,18,2
207,7,1
207,16,1
208,31,3
208,13,2
208,34,3
208,26,2
209,1,2
209,37,3
209,11,3
209,14,1
210,21,1
210,22,3
210,8,2
210,34,1
211,8,1
211,12,2
212,23,3
213,7,2
213,2,3
213,35,1
213,29,3
214,0,3
215,21,1
215,10,3
215,23,1
215,15,3
216,33,2
216,30,2
216,29,3
217,6,3
217,1,2
217,22,1
217,11,2
218,36,3
219,21,3
219,15,1
219,4,1
220,11,1
220,22,1
221,24,2
221,5,1
222,16,3
222,29,3
222,24,3
223,5,1
223,2,2
223,38,3
224,16,1
224,2,3
224,32,3
224,24,2
225,9,3
225,1,1
226,9,1
227,27,3
227,11,3
227,1,2
227,36,2
228,22,3
228,20,2
228,30,3
228,23,3
229,10,2
229,9,3
229,8,3
229,1,1
230,27,2
230,5,1
231,36,2
232,4,2
232,1,2
232,28,1
233,24,2
233,0,3
233,33,2
233,32,2
234,31,1
234,17,1
235,8,1
235,34,1
236,1,1
237,18,1
238,13,3
239,22,3
239,12,3
239,15,3
239,25,1
240,31,1
241,2,3
242,23,2
242,12,2
242,16,1
242,6,3
243,2,3
243,14,2
243,32,1
243,22,2
244,21,1
244,16,1
244,24,2
244,34,2
245,31,2
245,33,3
246,30,2
247,10,1
247,19,2
248,14,3
248,22,1
248,4,2
249,12,1
249,14,3
249,15,1
249,22,2
250,6,2
250,17,1
250,33,3
250,16,3
251,34,1
251,23,2
251,9,3
252,14,2
252,31,2
253,22,2
253,17,2
253,31,2
253,32,1
254,36,1
254,0,1
254,7,1
255,14,2
255,29,2
255,10,3
255,20,2
256,14,2
256,21,1
257,37,1
257,38,2
257,33,3
257,25,3
258,38,3
258,27,3
258,0,3
259,6,1
260,27,3
260,19,1
260,7,3
261,15,3
261,18,2
262,21,1
263,24,2
264,13,1
265,16,1
265,27,3
265,26,2
265,4,2
266,36,2
267,33,3
267,34,1
267,5,3
267,12,1
268,37,2
268,23,2
268,1,3
269,23,1
269,4,1
269,2,1
269,33,2
270,28,2
270,15,2
270,33,1
271,6,3
271,33,3
272,33,1
272,7,2
272,24,2
272,37,3
273,13,2
273,31,3
274,5,2
274,13,3
274,1,1
274,34,1
275,1,3
275,22,2
275,11,1
275,19,2
276,17,1
276,28,3
276,22,2
277,35,3
277,15,1
277,31,2
278,4,1
278,19,2
279,23,1
280,19,2
280,3,2
280,38,2
281,19,3
281,15,2
281,26,2
282,21,1
282,13,3
283,6,3
283,19,3
283,36,3
283,22,3
284,14,1
284,7,2
285,35,3
285,0,2
286,32,2
286,6,2
286,28,2
286,37,1
287,2,1
287,33,3
288,33,3
288,31,1
289,19,1
289,31,2
289,4,3
289,23,3
290,21,2
290,16,3
290,27,1
290,34,1
291,3,1
292,25,2
292,18,2
292,27,3
292,16,1
293,9,1
293,30,1
293,11,2
293,20,2
294,35,3
294,16,2
294,0,2
295,21,3
295,35,3
295,19,2
296,4,2
296,9,2
297,3,3
298,20,1
298,23,3
298,32,2
298,14,2
299,15,2
299,19,3
300,9,1
300,7,1
301,22,1
301,21,1
301,34,3
301,19,1
302,34,1
303,37,2
303,33,2
303,10,1
303,18,3
304,35,1
304,6,3
304,11,3
305,31,2
306,3,3
306,11,3
307,29,2
308,7,1
308,12,1
308,6,3
309,37,1
309,14,2
309,34,2
310,22,3
310,30,2
310,17,2
311,18,1
311,8,1
311,12,1
311,21,2
312,18,2
312,31,1
312,21,1
312,37,2
313,17,1
313,23,2
314,34,3
314,19,1
314,16,1
314,36,2
315,4,1
316,32,2
316,15,1
316,13,3
316,6,2
317,15,3
317,8,3
317,26,1
318,22,3
318,37,3
318,26,3
319,9,3
320,19,1
321,1,3
321,8,2
322,36,2
323,29,2
323,15,1
323,28,1
324,23,1
325,16,3
326,0,1
327,7,1
328,25,2
328,32,3
328,33,1
329,35,2
329,5,1
329,22,2
329,2,2
330,24,3
331,8,3
331,12,3
332,33,2
333,24,1
333,26,3
333,34,3
333,6,2
334,6,3
334,17,3
335,24,3
336,7,2
337,22,1
337,6,2
337,27,2
338,10,1
338,25,3
339,26,1
340,9,1
340,4,3
340,26,3
340,24,3
341,27,2
341,35,1
341,10,3
342,19,2
342,31,2
342,4,2
342,11,3
343,2,2
343,5,1
343,25,1
344,25,2
345,18,3
345,35,2
345,0,3
346,4,3
346,17,3
346,1,2
347,31,1
348,18,3
349,27,3
349,1,3
350,13,3
350,4,2
350,26,2
351,37,1
352,38,3
353,8,3
353,25,3
354,23,3
354,37,1
355,24,1
355,8,3
356,9,1
356,21,3
357,2,2
357,29,3
357,32,1
358,34,3
358,14,3
358,5,2
359,9,1
360,13,1
360,34,1
360,33,2
360,25,1
361,28,2
361,20,3
361,14,2
361,15,3
362,12,1
362,35,1
362,26,1
363,24,1
363,21,1
364,29,2
364,34,1
365,30,2
365,3,2
365,9,1
366,32,2
367,0,2
367,27,1
368,30,1
369,5,3
370,24,3
370,5,2
370,37,1
371,1,2
371,13,1
372,27,3
372,19,1
372,22,1
373,21,3
373,37,1
373,20,3
374,6,3
375,29,2
375,14,2
375,6,1
376,18,1
376,20,1
376,0,3
377,20,3
378,25,1
378,38,3
378,7,2
379,27,1
380,36,1
380,26,2
380,25,1
380,4,3
381,22,1
381,4,2
381,14,2
381,37,1
382,34,1
382,10,2
382,19,3
382,5,2
383,22,1
383,10,3
383,2,1
383,30,3
384,27,2
384,21,2
384,33,3
384,0,2
385,20,2
386,36,3
386,4,3
386,5,1
386,23,3
387,4,3
387,7,3
387,37,3
387,27,1
388,19,1
389,2,1
390,24,1
390,33,1
391,17,2
391,20,1
391,27,2
391,33,2
392,3,1
392,22,3
393,24,1
393,28,1
393,18,1
393,32,2
394,31,3
394,36,1
394,0,2
395,36,2
395,10,1
395,31,3
395,8,2
396,27,2
396,15,3
397,11,3
397,16,1
397,20,1
398,17,3
398,31,2
398,36,1
399,38,3
399,10,3
400,5,2
400,13,1
400,22,3
401,5,1
401,0,2
401,38,2
402,2,2
402,27,3
402,16,1
403,27,3
404,12,3
405,12,1
405,37,1
405,29,2
405,19,2
406,19,3
407,37,3
407,15,1
407,8,1
408,21,1
408,13,3
408,0,1
409,12,2
409,17,2
409,26,3
410,34,3
410,17,1
410,0,3
411,22,3
412,16,1
412,2,2
413,2,2
413,33,2
413,35,3
413,23,2
414,10,1
415,24,3
415,32,1
415,8,1
416,16,1
417,36,3
418,21,1
418,20,2
418,27,3
418,33,3
419,12,1
419,29,1
419,34,2
420,1,2
420,25,2
420,5,1
420,10,1
421,1,1
421,2,3
422,8,1
422,9,2
422,34,2
423,29,2
423,19,2
423,10,1
423,24,3
424,30,3
424,16,1
424,29,3
424,7,2
425,21,3
425,20,1
426,3,3
426,19,1
426,20,1
426,18,3
427,27,2
428,2,3
428,4,3
428,37,1
428,0,2
429,34,3
429,0,1
429,33,2
430,14,1
430,12,2
431,14,1
432,27,2
432,13,2
432,30,3
432,1,2
433,3,1
433,23,3
433,38,3
433,26,3
434,36,2
434,11,1
434,12,2
435,21,1
435,37,3
435,1,1
435,36,3
436,6,1
436,21,1
436,38,1
437,37,3
437,24,2
438,11,1
438,7,2
438,24,3
438,9,2
439,21,3
439,24,1
440,0,1
440,38,3
440,27,2
441,8,3
441,30,3
441,37,2
442,8,1
442,13,2
442,27,3
442,19,3
443,5,2
443,11,3
443,20,3
443,13,1
444,12,2
444,13,3
444,18,1
444,17,1
445,18,1
445,2,3
445,13,3
446,6,1
446,21,3
446,0,2
447,14,2
447,13,2
447,30,3
447,37,2
448,28,3
448,37,1
449,0,2
449,38,1
450,11,3
450,20,3
450,23,3
450,35,3
451,28,1
451,9,3
451,21,2
452,14,2
452,34,1
453,6,1
453,30,3
453,29,1
453,24,3
454,17,3
454,14,1
455,15,1
456,1,2
457,1,2
457,15,3
457,37,2
457,13,3
458,33,3
458,1,3
458,36,2
458,32,1
459,35,1
459,31,1
459,3,2
460,25,3
461,12,3
461,30,1
461,22,1
461,29,3
462,13,3
462,34,1
462,28,1
462,20,3
463,36,1
464,0,2
464,10,2
464,8,1
465,10,1
465,3,2
466,23,2
466,21,2
466,2,3
466,35,3
467,29,1
467,3,1
467,15,3
467,36,1
468,4,1
468,36,3
469,36,3
469,9,1
469,21,1
469,19,1
470,27,2
470,6,2
470,29,1
471,12,3
471,28,3
472,6,3
472,25,3
472,24,1
472,20,3
473,12,2
473,0,2
474,12,3
474,37,3
475,15,3
475,2,2
476,3,1
476,9,2
476,23,2
476,12,3
477,25,3
477,33,1
477,31,2
478,20,2
479,21,2
479,15,2
479,8,1
479,14,1
480,7,2
480,30,2
480,13,3
480,1,1
481,13,3
481,22,1
481,32,2
481,29,1
482,27,2
482,35,3
482,34,1
482,23,3
483,35,2
484,8,1
484,38,1
484,31,3
485,0,2
485,32,1
