menu_item_id,ingredient_id,quantity
0,milk,0.05
0,black_tea,0.02
0,tapioca_pearls,0.1
0,cups_16oz,1
0,lids,1
0,straws_wide,1
1,milk,0.05
1,black_tea,0.02
1,tapioca_pearls,0.1
1,honey,0.004
1,cups_16oz,1
1,lids,1
1,straws_wide,1
2,coffee_beans,0.02
2,heavy_cream,0.015
2,cups_16oz,1
2,lids,1
2,straws_wide,1
3,coffee_beans,0.02
3,black_tea,0.02
3,milk,0.04
3,cups_16oz,1
3,lids,1
3,straws_wide,1
4,black_tea,0.02
4,milk,0.05
4,tapioca_pearls,0.1
4,brown_sugar,0.03
4,condensed_milk,0.1
4,cups_16oz,1
4,lids,1
4,straws_wide,1
5,thai_tea_mix,0.03
5,milk,0.05
5,tapioca_pearls,0.1
5,cups_16oz,1
5,lids,1
5,straws_wide,1
6,taro_powder,0.03
6,milk,0.05
6,tapioca_pearls,0.1
6,cups_16oz,1
6,lids,1
6,straws_wide,1
7,green_tea,0.02
7,milk,0.04
7,fresh_mango,0.1
7,cups_16oz,1
7,lids,1
7,straws_wide,1
8,oolong_tea,0.02
8,milk,0.05
8,brown_sugar,0.03
8,tapioca_pearls,0.1
8,cups_16oz,1
8,lids,1
8,straws_wide,1
9,coconut_milk,0.05
9,black_tea,0.02
9,tapioca_pearls,0.1
9,cups_16oz,1
9,lids,1
9,straws_wide,1
10,black_tea,0.02
10,cups_16oz,1
10,lids,1
10,straws_wide,1
11,black_tea,0.02
11,honey,0.004
11,cups_16oz,1
11,lids,1
11,straws_wide,1
12,green_tea,0.02
12,fresh_mango,0.1
12,cups_16oz,1
12,lids,1
12,straws_wide,1
13,jasmine_tea,0.02
13,passion_fruit_syrup,0.05
13,cups_16oz,1
13,lids,1
13,straws_wide,1
14,jasmine_tea,0.02
14,fresh_strawberries,0.1
14,lychee_syrup,0.05
14,cups_16oz,1
14,lids,1
14,straws_wide,1
15,black_tea,0.02
15,honey,0.004
15,cups_16oz,1
15,lids,1
15,straws_wide,1
16,green_tea,0.02
16,fresh_mango,0.05
16,passion_fruit_syrup,0.05
16,cups_16oz,1
16,lids,1
16,straws_wide,1
17,honey,0.004
17,cups_16oz,1
17,lids,1
17,straws_wide,1
18,milk,0.06
18,brown_sugar,0.03
18,tapioca_pearls,0.1
18,cups_16oz,1
18,lids,1
18,straws_wide,1
19,coconut_milk,0.05
19,fresh_strawberries,0.1
19,cups_16oz,1
19,lids,1
19,straws_wide,1
20,coconut_milk,0.04
20,fresh_strawberries,0.1
20,ice_cream_vanilla,0.03
20,cups_16oz,1
20,lids,1
20,straws_wide,1
21,milk,0.03
21,condensed_milk,0.1
21,ice_cream_vanilla,0.03
21,ice_cream_taro,0.03
21,fresh_mango,0.05
21,fresh_strawberries,0.05
21,cups_16oz,1
21,lids,1
21,straws_wide,1
22,milk,0.03
22,condensed_milk,0.1
22,ice_cream_vanilla,0.03
22,ice_cream_taro,0.03
22,fresh_mango,0.05
22,fresh_strawberries,0.05
22,cups_16oz,1
22,lids,1
22,straws_wide,1
23,honey,0.004
23,cups_16oz,1
23,lids,1
23,straws_wide,1
24,honey,0.004
24,ice_cream_vanilla,0.03
24,cups_16oz,1
24,lids,1
24,straws_wide,1
25,milk,0.06
25,cups_16oz,1
25,lids,1
25,straws_wide,1
26,matcha,0.03
26,milk,0.05
26,tapioca_pearls,0.1
26,cups_16oz,1
26,lids,1
26,straws_wide,1
27,matcha,0.03
27,milk,0.05
27,cups_16oz,1
27,lids,1
27,straws_wide,1
28,matcha,0.03
28,milk,0.04
28,fresh_strawberries,0.1
28,cups_16oz,1
28,lids,1
28,straws_wide,1
29,matcha,0.03
29,milk,0.04
29,fresh_mango,0.1
29,cups_16oz,1
29,lids,1
29,straws_wide,1
30,matcha,0.03
30,milk,0.04
30,ice_cream_vanilla,0.03
30,cups_16oz,1
30,lids,1
30,straws_wide,1
31,milk,0.04
31,black_tea,0.02
31,tapioca_pearls,0.1
31,ice_cream_vanilla,0.03
31,cups_16oz,1
31,lids,1
31,straws_wide,1
32,taro_powder,0.03
32,milk,0.04
32,ice_cream_taro,0.03
32,cups_16oz,1
32,lids,1
32,straws_wide,1
33,thai_tea_mix,0.03
33,milk,0.04
33,tapioca_pearls,0.1
33,cups_16oz,1
33,lids,1
33,straws_wide,1
34,coffee_beans,0.02
34,milk,0.04
34,ice_cream_vanilla,0.03
34,cups_16oz,1
34,lids,1
34,straws_wide,1
35,fresh_mango,0.1
35,milk,0.04
35,ice_cream_vanilla,0.03
35,cups_16oz,1
35,lids,1
35,straws_wide,1
36,fresh_strawberries,0.1
36,lychee_syrup,0.05
36,milk,0.04
36,ice_cream_vanilla,0.03
36,cups_16oz,1
36,lids,1
36,straws_wide,1
37,black_tea,0.02
37,lychee_syrup,0.05
37,cups_16oz,1
37,lids,1
37,straws_wide,1
38,coconut_milk,0.04
38,fresh_strawberries,0.05
38,fresh_mango,0.05
38,ice_cream_vanilla,0.03
38,cups_16oz,1
38,lids,1
38,straws_wide,1
